,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
85,"[127, 127, 126, 126]","(82, 0, 97)",white,0,76,grey_old
86,"[190, 190, 190, 189]","(0, 0, 97)",white,0,75,grey_old
87,"[190, 190, 190, 189]","(90, 0, 97)",white,0,75,grey_old
88,"[190, 190, 190, 189]","(60, 0, 97)",white,0,97,grey_old
89,"[190, 190, 190, 189]","(60, 0, 97)",white,0,99,grey_old
90,"[163, 168, 168, 163]","(60, 0, 97)",white,0,98,grey_old
91,"[190, 190, 190, 189]","(60, 0, 97)",white,0,99,grey_old
92,"[142, 144, 144, 143]","(209, 0, 97)",white,0,98,grey_old
93,"[148, 151, 151, 149]","(180, 0, 97)",white,0,75,grey_old
94,"[172, 179, 179, 173]","(90, 0, 97)",white,0,75,grey_old
95,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
96,"[190, 190, 190, 190]","(0, 0, 97)",white,1,74,grey_old
97,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
98,"[190, 190, 190, 190]","(180, 0, 97)",white,0,75,grey_old
99,"[190, 190, 190, 190]","(209, 0, 97)",white,0,75,grey_old
100,"[127, 127, 127, 127]","(209, 0, 97)",white,0,98,grey_old
101,"[190, 190, 190, 190]","(180, 0, 97)",white,0,75,grey_old
102,"[127, 127, 127, 127]","(90, 0, 97)",white,1,75,grey_old
103,"[190, 190, 190, 190]","(180, 0, 97)",white,0,99,grey_old
104,"[223, 228, 228, 224]","(90, 0, 97)",white,0,75,grey_old
105,"[212, 215, 215, 213]","(0, 0, 97)",white,1,74,grey_old
106,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
107,"[127, 127, 127, 127]","(0, 0, 97)",white,0,74,grey_old
108,"[190, 190, 190, 190]","(0, 0, 97)",white,1,74,grey_old
109,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
110,"[190, 190, 190, 190]","(0, 0, 97)",white,1,74,grey_old
111,"[190, 190, 190, 190]","(0, 0, 97)",white,1,74,grey_old
112,"[186, 190, 190, 187]","(0, 0, 97)",white,0,74,grey_old
113,"[190, 190, 190, 190]","(90, 0, 97)",white,0,99,grey_old
114,"[190, 190, 190, 190]","(180, 0, 97)",white,0,98,grey_old
115,"[190, 190, 190, 190]","(180, 0, 97)",white,0,75,grey_old
116,"[190, 190, 190, 190]","(0, 0, 97)",white,1,75,grey_old
117,"[181, 190, 189, 182]","(180, 0, 97)",white,0,75,grey_old
118,"[179, 188, 187, 180]","(90, 0, 97)",white,1,75,grey_old
119,"[190, 190, 190, 190]","(209, 0, 97)",white,0,75,grey_old
