,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
92,"[50, 110, 84, 175]","(154, 52, 56)",green,0,69,green
93,"[50, 110, 85, 175]","(154, 52, 56)",green,0,69,green
94,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
95,"[50, 111, 85, 176]","(154, 52, 56)",green,0,69,green
96,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
97,"[50, 110, 85, 176]","(154, 52, 56)",green,0,92,green
98,"[44, 96, 74, 154]","(154, 52, 56)",green,0,69,green
99,"[50, 110, 85, 176]","(154, 52, 56)",green,0,91,green
100,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
101,"[50, 111, 85, 176]","(154, 52, 56)",green,0,69,green
102,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
103,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
104,"[50, 110, 85, 176]","(154, 52, 56)",green,0,91,green
105,"[50, 110, 85, 175]","(154, 52, 56)",green,0,69,green
106,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
107,"[48, 107, 82, 170]","(154, 52, 56)",green,0,69,green
108,"[50, 110, 85, 176]","(154, 52, 56)",green,0,92,green
109,"[50, 110, 85, 175]","(154, 52, 56)",green,0,91,green
110,"[50, 110, 85, 175]","(154, 52, 56)",green,0,69,green
111,"[50, 110, 84, 175]","(154, 52, 56)",green,0,69,green
112,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
113,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
114,"[50, 110, 85, 175]","(154, 52, 56)",green,0,69,green
115,"[50, 111, 85, 176]","(154, 52, 56)",green,0,69,green
116,"[33, 74, 57, 117]","(154, 52, 56)",green,0,69,green
117,"[50, 111, 85, 176]","(154, 52, 56)",green,0,69,green
118,"[62, 137, 105, 219]","(154, 52, 56)",green,0,69,green
119,"[50, 110, 85, 176]","(154, 52, 56)",green,0,69,green
